instruction,input,output
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบการใช้น้ํา      (3.2) ปริมาณการใช้น้ําของโครงการ  ,,"จะใช้น้ําดิบที่ซื้อจากบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด ในปริมาณ ดังนี้  - ฤดูหีบอ้อย (150 วัน) ใช้น้ําเฉลี่ย 1,563.698 ลูกบาศก์เมตร/วัน  
ดังนั้น มีการใช้น้ําทั้งหมด = 1,563.698 ลูกบาศก์เมตร/วัน x 150 วัน  
 = 234,554.70 ลูกบาศก์เมตร  
- ฤดูละลายน้ําตาล (45 วัน) ใช้น้ําเฉลี่ย 1,563.698 ลูกบาศก์เมตร/วัน  
ดังนั้น มีการใช้น้ําทั้งหมด = 1,563.698 ลูกบาศก์เมตร/วัน x 45 วัน  
 = 70,366.41 ลูกบาศก์เมตร  
- ฤดูซ่อมแซมของโรงงานน้ําตาล (45 วัน) ใช้น้ําเฉลี่ย 3,703.806 ลูกบาศก์เมตร/วัน  ดังนั้น มีการใช้น้ําทั้งหมด = 3,703.806 ลูกบาศก์เมตร/วัน x 45 วัน  
 = 166,671.27 ลูกบาศก์เมตร 
- นอกฤดูการผลิตไฟฟ้าจะเป็นฤดูการซ่อมแซมเครื่องจักรของโครงการ ซึ่งเกิดขึ้นในช่วงเดือน สิงหาคมถึงปลายเดือนพฤศจิกายน รวม 125 วัน จะมีเฉพาะน้ําใช้ในส่วนของสํานักงานเท่านั้น ซึ่งมีปริมาณ เท่ากับ 7.8 ลูกบาศก์เมตร/วัน  
ดังนั้น มีการใช้น้ําทั้งหมด = 7.8 ลูกบาศก์เมตร/วัน x 125 วัน  
 = 975 ลูกบาศก์เมตร  
(ที่มา : ข้อมูลปริมาณการใช้น้ําของบริษัท เกษตรไทยไบโอเพาเวอร์ จํากัด, 2554)  
ดังนั้น จะมีการใช้น้ําต่อปีทั้งหมด = 234,554.70 + 70,366.41 + 166,671.27 + 975   = 472,567.38 ลูกบาศก์เมตร  จึงมีปริมาณน้ําดิบคงเหลือ  
= ปริมาณน้ําดิบคงเหลือจากบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด – ปริมาณน้ําดิบที่ โครงการใช้  
= 815,968.94 – 472,567.38 ลูกบาศก์เมตร/ปี  
= 343,401.56 ลูกบาศก์เมตร/ปี  
จากข้อมูลข้างต้นแสดงให้เห็นว่าทางโครงการใช้น้ําดิบโดยมีแหล่งน้ําหลักมาจากบ่อน้ําดิบของ บริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด ซึ่งทําการซื้อ-ขาย ตามสัญญาซื้อ-ขายน้ําดิบดังแสดงใน ภาคผนวก 2ข แหล่งน้ําหลักนี้สามารถกักเก็บน้ําฝนและน้ําหลากได้ทั้งหมด 3,103,013.94 ลูกบาศก์เมตร/ปี  โดยจะนําไปใช้ในกิจการของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด 2,287,045.00 ลูกบาศก์เมตร/ปี  และนําไปใช้ในกิจการของโครงการ 472,567.38 ลูกบาศก์เมตร/ปี ทําให้มีน้ําเหลืออีก 343,401.56  ลูกบาศก์เมตร/ปี จะเห็นได้ว่าแหล่งน้ําหลักของโครงการสามารถรองรับความต้องการในการใช้น้ําของ โครงการได้อย่างพอเพียง แต่ในกรณีฤดูแล้งหรือน้ําในแหล่งน้ําหลักไม่เพียงพอ ทางโครงการได้เตรียมแหล่ง น้ําสํารองไว้แล้ว คือ บ่อน้ําดิบของบริษัท เอ็นไวรอนเม็นท์พัลพ์ แอนด์ เปเปอร์ จํากัด โดยมีสัญญาซื้อ-ขาย น้ําดิบ "
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบหล่อเย็น  ,,ระบบน้ําหล่อเย็นของโครงการใช้น้ําจะใช้น้ําจากระบบผลิตน้ําอ่อน โดยน้ําระบายความร้อนที่เย็น แล้วจะถูกรวบรวมลงสู่บ่อพักน้ําของหอหล่อเย็นและจะถูกหมุนเวียนกลับไปใช้ใหม่ ซึ่งจําเป็นต้องมีการ ระบายน้ําทิ้งส่วนหนึ่ง (Blow down Water) เพื่อรักษาคุณภาพน้ําในระบบให้คงที่ ดังนั้น ในระบบน้ําหล่อ เย็นจึงจําเป็นต้องมีการเติมน้ําชดเชยจาการระเหยและการระบายน้ําบางส่วนออกเพื่อป้องกันการกัดกร่อน และเกิดตะกรัน  
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบผลิตไอน้ํา  ,,"ระบบผลิตไอน้ําของโครงการ ประกอบด้วย หม้อไอน้ํา 1 ชุด มีความสามารถในการผลิตไอน้ําได้  240 ตัน/ชม. โดยใช้ชานอ้อยเป็นเชื้อเพลิง สําหรับน้ําชดเชยเข้าระบบผลิตไอน้ําจะใช้น้ําปราศจากแร่ธาตุ  (RO) ในฤดูเปิดหีบอ้อย ในอัตรา 864 ลูกบาศก์เมตร/วัน ช่วงฤดูละลายน้ําตาล 1,212 ลูกบาศก์เมตรต่อวัน  และฤดูซ่อมแซม 2.4 ลูกบาศก์เมตร/วัน"
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบระบายน้ําและป้องกันน้ําท่วม  1) ช่วงก่อสร้าง  ,,ช่วงก่อสร้างโครงการได้จัดให้มีระบบระบายน้ําชั่วคราว ในแนวเดียวกับที่จะจัดสร้างรางระบายน้ํา ถาวร เพื่อป้องกันน้ําฝนที่ชะล้างเศษดินไหลลงสู่พื้นที่ข้างเคียง โดยน้ําฝนที่ตกในพื้นที่โครงการทั้งหมดจะถูก ปล่อยลงสู่บ่อเก็บน้ําดิบของโรงงานน้ําตาลเพื่อเก็บไว้ใช้ต่อไป  
ระบบสาธารณูปโภค-สาธารณูปการ  ระบบระบายน้ําและป้องกันน้ําท่วม  2) ช่วงดําเนินการ  ,,"การออกแบบระบบระบายน้ําฝนของโครงการได้แยกระบบระบายน้ําฝนออกจากระบบ ระบายน้ําเสียอย่างชัดเจน โดยแบ่งพื้นที่การระบายน้ําฝนของโครงการออกเป็น 2 ส่วน ได้แก่ ส่วนบริเวณ อาคารต่างๆ ส่วนบริเวณพื้นที่การผลิต และอาคารเก็บกักสารเคมี มีรายละเอียดดังนี้   - น้ําฝนที่ไม่มีโอกาสปนเปื้อน โครงการได้ออกแบบรางระบายน้ําฝนเป็นรางคอนกรีตเปิด  รอบพื้นที่อาคารต่างๆ และท่อกลมลอดพื้นที่ที่เป็นถนน เพื่อรองรับน้ําฝนที่ไม่มีการปนเปื้อนก่อนระบายลงสู่ บ่อเก็บน้ําดิบของโรงงานน้ําตาล  
 - น้ําฝนที่มีโอกาสปนเปื้อนที่ตกภายในบริเวณพื้นที่ส่วนผลิตเก็บสารเคมีซึ่งมีคอนกรีต ล้อมรอบถังนั้นจะถูกกักเก็บอยู่ในลานถังซึ่งจะมีประตูน้ําควบคุมการเปิด-ปิด โดยหลังจากฝนหยุดตก  โครงการจะตรวจสอบความเป็นกรด-ด่าง ของน้ําฝนที่ถูกกักอยู่ในคันคอนกรีต หากไม่มีการปนเปื้อนจะ ระบายน้ําส่วนนี้ลงสู่รางระบายน้ําฝน แต่หากมีการปนเปื้อนจะระบายลงสู่บ่อบําบัดน้ําเสียของโครงการต่อไป"
มลพิษและการควบคุม  การจัดการมลพิษทางอากาศ  1) ช่วงก่อสร้าง  ,,"ช่วงก่อสร้างอาจก่อให้เกิดฝุ่นละออง เช่น ฝุ่นละอองจากกิจกรรมก่อสร้าง และฝุ่นละออง จากการขนส่งวัสดุอุปกรณ์ก่อสร้างภายในพื้นที่โครงการ เป็นต้น โครงการได้กําหนดให้มีการฉีดพรมน้ําใน บริเวณพื้นที่ที่อาจมีการฟุ้งกระจายของฝุ่นละอองในช่วงฤดูแล้งและช่วงที่ไม่มีฝนตกอย่างน้อยวันละ 2 ครั้ง  
(เช้า-บ่าย) พร้อมทั้งดูแลเครื่องจักร/อุปกรณ์ก่อสร้างต่างๆให้อยู่ในสภาพดี เพื่อลดมลพิษที่อาจเกิดขึ้น   นอกจากนี้ ยังมีการกั้นตาข่ายเพื่อป้องกันฝุ่นละอองฟุ้งกระจายขึงเป็นแนวในบริเวณที่มี การก่อสร้างให้เป็นสัดส่วน และยังมีต้นไม้ทรงสูงที่เป็นของโรงงานน้ําตาลเดิมช่วยในการลดปริมาณฝุ่น ละอองที่เกิดขึ้นจากการก่อสร้างได้อีก  "
มลพิษและการควบคุม  การจัดการมลพิษทางอากาศ  2) ช่วงดําเนินการ  ,,"แหล่งกําเนิดมลพิษทางอากาศช่วงดําเนินการจะมาจากปล่องระบายไอเสียของหม้อไอน้ํา จํานวน 1 ปล่อง ซึ่งใช้ชานอ้อยเป็นเชื้อเพลิง ดังนั้นปริมาณมลพิษหลักที่เกิดขึ้นจึงได้แก่ ฝุ่นละออง ซึ่ง โครงการจะติดตั้งเครื่องดักฝุ่นแบบไฟฟ้าสถิต (Electrostatic Precipitator : ESP) จํานวน 1 ชุด โดย ออกแบบเป็นแบบ 3 เซล ต่อขนานกัน โดยทํางาน 2 เซล และหยุดเคาะฝุ่นออกจํานวน 1 เซล แสดง รายละเอียดแบบแปลนและรูปตัดของเครื่องดักฝุ่นแบบไฟฟ้าสถิตไว้ในรูปที่ 2-30 ดังนั้น เมื่อเกิดเหตุฉุกเฉิน หยุดทํางาน 1 เซลที่เหลือยังสามารถทํางานได้ แต่จําเป็นต้องลด Load การผลิตลงเพื่อรักษาเสถียรภาพการ ผลิตและทําการซ่อมแซมเซลที่ทํางานผิดปกตินั้น โดยเครื่องดักฝุ่นแบบไฟฟ้าสถิตเป็นเครื่องมือที่ใช้แรงไฟฟ้า ในการแยกอนุภาคออกจากกระแสก๊าซโดยมีหลักการ คือ การใส่ประจุไฟฟ้าให้อนุภาค แล้วผ่านอนุภาคที่มี ประจุไฟฟ้าเข้าไปในสนามไฟฟ้าสถิต อนุภาคเหล่านี้จะเคลื่อนที่เข้าหาและถูกเก็บบนแผ่นเก็บซึ่งมีศักย์ไฟฟ้า ตรงกันข้ามกับของอนุภาค เมื่อใดที่เซลใดครบกําหนดเวลาที่ต้องเคาะให้ฝุ่นตกลงไปยังช่องรวบรวมฝุ่น  
สนามไฟฟ้าจะถูกตัด ฝุ่นที่เกาะบนแผ่นดักจับฝุ่นจะถูกเคาะตกลงไปในช่องรวบรวมฝุ่น ก่อนลําเลียงออกไป  ส่วนเซลอื่นๆ ยังทํางานอยู่เพื่อดักจับฝุ่นไม่ให้หลุดออกไปที่ปากปล่อง ทุกเซลจะทํางานและเคาะฝุ่นสลับกัน เรื่อยไป โดยเครื่องควบคุมอัตโนมัติและถ้าหากเซลใดขัดข้องจะมีเซลที่เหลืออยู่ทํางานตลอดเวลา   "
มลพิษและการควบคุม  การจัดการมลพิษทางอากาศ  ข้อดีของระบบบําบัดมลพิษแบบไฟฟ้าสถิตมีดังนี้  ,,"(1) ประสิทธิภาพในการบําบัดฝุ่นสูงมากคือ ร้อยละ 99.8 โดยคาดว่าความเข้มข้นของฝุ่นที่ระบาย ออกจะมีค่าไม่เกินมาตรฐานตามประกาศกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม เรื่อง กําหนด มาตรฐานควบคุมการปล่อยทิ้งอากาศเสียจากโรงไฟฟ้าใหม่ ซึ่งกําหนดค่าความเข้มข้นไว้ไม่เกิน 120  มิลลิกรัม/ลูกบาศก์เมตร  (2) ใช้กับก๊าซสกปรกที่มีปริมาณอนุภาคถึง 100 กรัม/ลูกบาศก์เมตรได้  
 (3) ปฏิบัติการง่ายและไม่มีปัญหายุ่งยาก  
 (4) ค่าใช้จ่ายในการเดินเครื่องต่ําเนื่องจากความดันสูญเสียของระบบมีค่าต่ํา   (5) ดักจับฝุ่นที่มีฤทธิ์กัดกร่อนได้  
 (6) กําจัดได้ทั้งอนุภาคของแข็งและหยดของเหลวที่มีขนาดเล็กกว่า 1 ไมครอนได้ดี   (7) ระบบแบบเปียกดักจับก๊าซมลพิษได้และไม่ไวต่อความต้านทานไฟฟ้าของฝุ่น   (8) ลดปริมาณการใช้และบริหารจัดการน้ําในกระบวนการดักจับฝุ่นละออง   "
มลพิษและการควบคุม  การจัดการมลพิษทางอากาศ  ข้อจํากัดของระบบบําบัดมลพิษแบบไฟฟ้าสถิตมีดังนี้  ,,"ข้อจํากัดของระบบบําบัดมลพิษแบบไฟฟ้าสถิตมีดังนี้  
 (1) ต้นทุนสูง  
 (2) ใช้พลังงานสูง  
 (3) ประสิทธิภาพต่ําเมื่อรับภาระสูง(อัตราเร็วของก๊าซและปริมาณฝุ่นสูง)  
 (4) ใช้พื้นที่ติดตั้งมาก  
 (5) ไม่สามารถปรับให้เดินเครื่องในสภาวะที่เปลี่ยนแปรได้  
 (6) ระบบแห้ง ไวต่อปริมาณฝุ่นที่เข้าสู่เครื่อง  
 (7) ในบางกรณีต้องใช้สารปรับสภาพความต้านทางไฟฟ้าของฝุ่น  "
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  1) ช่วงก่อสร้าง  ,,น้ําเสียที่เกิดขึ้นในช่วงก่อสร้างมีแหล่งกําเนิดที่สําคัญ คือ น้ําทิ้งจากกิจกรรมการก่อสร้างและน้ํา เสียที่เกิดจากการอุปโภค บริโภค ของคนงาน โดยน้ําทิ้งจากกิจกรรมการก่อสร้าง ได้แก่ น้ําที่ใช้บ่มคอนกรีต  น้ําชะล้างเครื่องมือและอุปกรณ์ก่อสร้าง คาดว่าจะมีปริมาณน้อย เนื่องจากในการก่อสร้างโครงการจะ เลือกใช้คอนกรีตผสมเสร็จ โดยน้ําเสียเหล่านี้จะถูกปล่อยให้ซึมลงไปในพื้นดินบริเวณพื้นที่ก่อสร้างตาม ธรรมชาติ ส่วนน้ําเสียที่เกิดจากการอุปโภค-บริโภคของคนงานก่อสร้าง เมื่อพิจารณาในช่วงที่มีคนงาน ก่อสร้างสูงสุดประมาณ 100 คน จะมีปริมาณน้ําเสียประมาณ 9.5 ลูกบาศก์เมตร/วัน โดยบริษัทผู้รับเหมา การก่อสร้าง จะจัดเตรียมห้องน้ํา-ห้องสุขา สําหรับคนงานในอัตราส่วน 20 คน ต่อ 1 ห้อง  
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  2) ช่วงดําเนินการ  ,,"น้ําเสียที่เกิดขึ้นจากโครงการแบ่งได้เป็น 2 ประเภท มีรายละเอียด ดังนี้  1. น้ําเสียจากกระบวนการผลิต  
ประกอบด้วยน้ําเสียที่มาจากกระบวนการผลิต ใน 2 ส่วน ดังนี้  
(1) น้ํา Blow down จากหม้อไอน้ําในช่วงฤดูหีบอ้อย (ปลายเดือนพ.ย.-เม.ย.) และ ช่วงฤดูละลายน้ําตาล (เดือนพ.ค.-กลางเดือนมิ.ย.) มีปริมาณ 72 ลูกบาศก์เมตร/วัน และในช่วงฤดูซ่อมแซม ของโรงงานน้ําตาลมีปริมาณ 68.88 ลูกบาศก์เมตร/วัน โดยนําตัวอย่างน้ํา Blowdown จากบริษัท เอ็นไว รอนเม็นท์พัลพ์ แอนด์ เปเปอร์ จํากัด มาทําการวิเคราะห์คุณลักษณะของน้ํา ดังแสดงในตารางที่ 2-10 น้ํา เสียส่วนนี้จะถูกรวบรวมลงสู่ระบบบําบัดน้ําเสียของโครงการ (2) น้ํา Drain cooling จากหอหล่อเย็น ในช่วงฤดูหีบอ้อย (ปลายเดือนพ.ย.-เม.ย.)  และฤดูละลายน้ําตาล (เดือนพ.ค.-กลางเดือนมิ.ย.) มีปริมาณ 69 ลูกบาศก์เมตร/วัน และในช่วงฤดูซ่อมแซม ของโรงงานน้ําตาลมีปริมาณ 170.4 ลูกบาศก์เมตร/วัน โดยนําตัวอย่างน้ํา Drain Coolingจากบริษัท เอ็นไว รอนเม็นท์พัลพ์ แอนด์ เปเปอร์ จํากัด มาทําการวิเคราะห์คุณลักษณะของน้ํา ดังแสดงในตารางที่ 2-11 น้ํา เสียส่วนนี้จะถูกรวบรวมลงสู่ระบบบําบัดของน้ําเสียของโครงการ  "
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  การบําบัดทางเคมี (Chemical  Treatment) ,,"ดังนั้น การบําบัดน้ําจากกระบวนการผลิตของโครงการจึงใช้การบําบัดทางเคมี (Chemical  Treatment) ซึ่งเป็นวิธีการบําบัดน้ําเสียโดยใช้กระบวนการทางเคมี เพื่อทําปฏิกิริยากับสิ่งเจือปนในน้ําเสีย  วิธีการนี้จะใช้สําหรับน้ําเสียที่มีส่วนประกอบอย่างใดอย่างหนึ่งดังต่อไปนี้ คือ ค่า pH สูงหรือต่ําเกินไป มี สารพิษ มีโลหะหนัก มีของแข็งแขวนลอยที่ตกตะกอนยาก มีไขมันและน้ํามันที่ละลายน้ํา มีไนโตรเจนหรือ 
ฟอสฟอรัสที่สูงเกินไป และมีเชื้อโรค เป็นต้น (ที่มา : กรมควบคุมมลพิษ)"
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  Neutralization,,การบําบัดทางเคมีที่โครงการเลือกใช้คือวิธีการทําให้เป็นกลาง (Neutralization) โดยการทํางาน ของระบบจะเริ่มจากการรวบรวมน้ําเสียลงสู่บ่อบําบัดน้ําเสียบ่อที่ 1 ทําการใช้สารเคมี (H2SO4) เพื่อปรับค่า  pH ให้อยู่ในระดับ 6.5-8.0 หลังจากนั้น น้ําเสียจะไหลเข้าสู่บ่อที่ 2 และ 3 ตามลําดับ โดยลักษณะของบ่อ บําบัดเป็นบ่อคอนกรีต เพื่อป้องกันน้ําเสียซึมลงสู่น้ําใต้ดิน ซึ่งรายละเอียดของแต่ละบ่อมีดังนี้  
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  ระบบบําบัดน้ําเสีย,,"ระบบบําบัดน้ําเสียของโครงการสามารถรองรับน้ําเสียได้ 8,250 ลูกบาศก์เมตร มีน้ําเสียที่เกิดจาก กระบวนการผลิตสูงสุดที่ใช้ในการออกแบบประมาณ 300 ลูกบาศก์เมตร/วัน และมีระยะเวลาเก็บกักของ ระบบเท่ากับ 27.5 วัน คุณลักษณะของน้ําเสียที่ออกจากระบบบําบัดน้ําเสียของโครงการ ดังแสดงในตารางที่ 2-13 "
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  การจัดการน้ําทิ้งของโครงการจะใช้หลักการหมุนเวียนน้ํา,,"การจัดการน้ําทิ้งของโครงการจะใช้หลักการหมุนเวียนน้ําที่ผ่านการบําบัดแล้ว กลับมาใช้ใน โครงการอีกครั้ง โดยจะมีส่วนในการจัดการดังนี้  
- นําไปใช้ในส่วนของการรดน้ําต้นไม้ในโครงการ ซึ่งเป็นพื้นที่สีเขียวของโครงการ มีอัตราการใช้น้ํา  10 ลูกบาศก์เมตร/วัน  
- ใช้เป็นน้ําพรมดักเถ้าหนักจากหม้อไอน้ํา มีอัตราการใช้น้ํา 20 ลูกบาศก์เมตร/วัน  
- นําไปพรมกองชานอ้อย โดยในช่วงฤดูหีบอ้อยและฤดูละลายน้ําตาล มีอัตราการใช้น้ําเท่ากับ 111  ลูกบาศก์เมตร/วัน และในช่วงฤดูซ่อมแซมของโรงงานน้ําตาล มีอัตราการใช้น้ํา 209.28 ลูกบาศก์เมตร/วัน  โดยน้ําส่วนนี้หลังจากพรมชานอ้อยแล้วจะระเหยออกไปในบรรยากาศทั้งหมด สามารถแสดงการคํานวณได้  ดังนี้  
ปริมาณน้ําที่ใช้พรมชานอ้อยของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด = 200 ลูกบาศก์เมตร/วัน  ปริมาณน้ําที่ใช้พรมชานอ้อยของโครงการสูงสุด = 209.28 ลูกบาศก์เมตร/วัน  ปริมาณน้ํารวมที่ใช้พรมชานอ้อย = 200 + 209.28  = 409.28 ลูกบาศก์เมตร/วัน  
พื้นที่ลานกองเก็บชานอ้อยของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด = 82,961 ตารางเมตร  อัตราการระเหย = 1,877 มิลลิเมตร/ปี  (ที่มา : ข้อมูลจากสถิติภูมิอากาศในคาบ 30 ปี (พ.ศ.2523-2552) ของสถานีตรวจวัดอากาศนครสวรรค์) "
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  ปริมาณน้ํารวมที่ใช้พรมชานอ้อย ,,"ดังนั้น ปริมาณน้ํารวมที่ใช้พรมชานอ้อย (409.28 ลูกบาศก์เมตร/วัน) จะน้อยกว่า ปริมาณน้ําที่ ระเหยไป (426.62 ลูกบาศก์เมตร/วัน) ทําให้น้ําพรมชานอ้อยสามารถระเหยออกไปในบรรยากาศทั้งหมด  แสดงให้เห็นว่า ลานกองเก็บชานอ้อย จะสามารถรองรับน้ําทิ้งจากโครงการได้โดยไม่ก่อให้เกิดผลกระทบกับ การใช้น้ําและการบําบัดน้ําเสียจากลานกองเก็บชานอ้อยของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด  
แต่อย่างใด  
 โดยในการนําน้ํากลับมาใช้ใหม่นั้น จะทําการปั๊มน้ําจากบ่อบําบัดน้ําเสียบ่อสุดท้ายไปตามระบบท่อ น้ําหมุนเวียนบําบัด ดังแสดงในรูปที่ 2-31 ซึ่งจะมีระบบหัวพ่นน้ํา (Sprinkler) ฉีดพรมบริเวณลานกองเก็บ ชานอ้อยและบ่อขี้เถ้า รวมถึงน้ําที่ใช้ในการรดน้ําต้นไม้ โดยจะต่อจากจุดจ่ายน้ําที่จัดเตรียมไว้ออกไปนั่นเอง   ดังนั้น น้ําทิ้งจากระบบบําบัดส่วนนี้ทางโครงการสามารถนํากลับมาใช้ได้ทั้งหมด แสดงให้เห็นว่า  ปริมาณน้ําเข้าจะเท่ากับปริมาณน้ําออกในแต่ละวัน จึงไม่เกิดปัญหาน้ําไหลล้นออกนอกพื้นที่โครงการ และ การนํากลับไปใช้นั้น มิได้นํากลับไปใช้ในส่วนของกระบวนการผลิต คือนําเข้าหม้อไอน้ําและหอหล่อเย็น  ดังนั้น จะไม่พบปัญหาการสะสมของสารละลายทั้งหมด (Total Dissolved Solid : TDS) ในกระบวนการ หมุนเวียนน้ําใช้ของโครงการ  
แต่อย่างไรก็ตาม ทางโครงการได้คํานึงถึงปัจจัยที่อาจก่อให้เกิดน้ําล้นระบบได้ และทําการจัดเตรียม มาตรการในการป้องกันไว้ ในแต่ละกรณี ดังนี้  "
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  กรณีเกิดฝนตกในพื้นที่ต่อเนื่องยาวนาน  ,,"ทางโครงการได้จัดให้มีรางระบายน้ําฝนแยกกับรางระบายน้ําเสีย และน้ําฝนจะไหลลงสู่บ่อเก็บน้ํา ดิบของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล จํากัด ดังนั้นปริมาณน้ําที่จะลงบ่อเพิ่มขึ้นหากเกิดกรณีฝนตก ต่อเนื่องกันหลายวัน จะมีเฉพาะปริมาณน้ําฝนที่ตกลงในบ่อบําบัดน้ําเสียโดยตรงเท่านั้น ซึ่งสามารถคํานวณ ได้ ดังนี้  
ปริมาณน้ําฝนสูงสุดต่อวัน = 150.10 มิลลิเมตร/วัน  (ดูข้อมูลจากสถิติภูมิอากาศในคาบ 30 ปีของสถานีตรวจวัดอากาศนครสวรรค์ ปี 2523-2552)  พื้นที่ผิวบ่อบําบัดน้ําเสีย = 3,300 ตารางเมตร  ปริมาณน้ําที่ระบบยังสามารถรองรับได้ = ความจุของบ่อ – ปริมาณน้ําใน บ่อ  
 = 9,900 – 8,250  
 = 1,650 ลูกบาศก์เมตร  ปริมาณน้ําฝนที่ตกลงสู่บ่อโดยตรงเฉลี่ยต่อวัน = 150.10 x 3,300 x 10-3  = 495.33 ลูกบาศก์เมตร/วัน  ดังนั้น ระบบบําบัดน้ําเสียสามารถรองรับน้ําฝนได้ = 1,650/495.33  
 = 3.33 วัน"
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  กรณีน้ําล้นระบบ ,,"หากเกิดเหตุการณ์ไม่คาดฝันขึ้น เช่น ระบบล้มเหลว หรือ เกิดเหตุการณ์ฝนตกอย่างหนักผิดปกติ  ทําให้ระดับน้ําในบ่อบําบัดสูงเกินกว่าความจุของบ่อจะสามารถรับได้ ทางโครงการได้จัดให้มีคันคอนกรีตกั้น บริเวณโดยรอบบ่อบําบัดน้ําเสีย โดยคันมีความสูงเท่ากับ 3 เมตร (ดังรูปที่ 2-31) โดยคันกั้นบ่อนี้จะทําให้ สามารถรองรับน้ําในกรณีเหตุไม่คาดฝันนี้ได้อีก 16,454.18 ลูกบาศก์เมตร โดยสามารถแสดงการคํานวณได้  ดังนี้  
พื้นที่เหนือบ่อบําบัดเป็นรูปทรงปิรามิดตัดยอดแบบคว่ําหัวลง ดังนั้น  
จากสูตรปริมาตรปิรามิดตัดยอด ; V = (h )3/ × (A1+ A2 + A1× A )2  V = ปริมาตรปิรามิดตัดยอด (ลูกบาศก์เมตร)   h = ความสูง (เมตร)  
 A1 = พื้นที่ฐานปิรามิด (ตารางเมตร)   A2 = พื้นที่ยอดปิรามิด (ตารางเมตร)  
ปริมาตรบ่อที่ 1  
พื้นที่ฐานปิรามิด A1 : A1 = ( 26 + 6 ) x ( 46 + 6 )   = 1,664 ตารางเมตร   
พื้นที่ยอดปิรามิด A2 : A2 = ( 20 + 6 ) x ( 40 + 6 )   = 1,196 ตารางเมตร   h = 3 เมตร  แทนค่า ; V = [ (3/3) x ( 1,664 + 1,196 + ,1 664x ,1196 )]   = 4,270.72 ลูกบาศก์เมตร  
ปริมาตรบ่อที่ 2  
พื้นที่ฐานปิรามิด A1 : A1 = ( 21 + 6 ) x ( 66 + 6 )   = 1,944 ตารางเมตร   
พื้นที่ยอดปิรามิด A2 : A2 = ( 15 + 6 ) x ( 60 + 6 )   = 1,386 ตารางเมตร   h = 3 เมตร  แทนค่า ; V = [ (3/3) x ( 1,944 + 1,386 + ,1 944x ,1 386 )]   = 4,971.46 ลูกบาศก์เมตร  "
มลพิษและการควบคุม  การจัดการมลพิษทางน้ํา  น้ําเสียจากสํานักงาน  ,,โครงการมีพนักงานทั้งหมด 78 คน คิดอัตราการใช้น้ําเสียเท่ากับ 100 ลิตร/คน-วัน  (ที่มา : กรมควบคุมมลพิษ) โดยโครงการจะคิดเป็นน้ําเสียทั้งหมดออกมา 100% จึงทําให้มีปริมาณน้ําเสียส่วน นี้เท่ากับ 7.8 ลบ.ม./วัน ทางโครงการ ได้จัดให้มีระบบบําบัดน้ําเสียโดยเฉพาะซึ่งมีรายละเอียดในการออกแบบ ระบบบําบัด  จากตารางที่ 2-14 แสดงให้เห็นว่าคุณลักษณะน้ําเสียจากอาคารสํานักงาน มีค่า BOD เท่ากับ 180  มก./ล. โดยทางโครงการได้เลือกใช้ถังบําบัดน้ําเสียสําเร็จรูปแบบ Septic – Bio Film (ST/BF) ซึ่งออกแบบ ค่าบีโอดีของน้ําเสียที่ไหลเข้าถังบําบัด เท่ากับ 250 มก./ล. 
